Flux	Ic
-4.12909	0.0312988
-4.12809	0.0310849
-4.12709	0.0308706
-4.12609	0.0306559
-4.12509	0.0304408
-4.12409	0.0302253
-4.12309	0.0300094
-4.12209	0.029793
-4.12109	0.0295763
-4.12009	0.0293592
-4.11909	0.0291416
-4.11809	0.0289237
-4.11709	0.0287054
-4.11609	0.0284867
-4.11509	0.0282676
-4.11409	0.0280481
-4.11309	0.0278283
-4.11209	0.027608
-4.11109	0.0273874
-4.11009	0.0271664
-4.10909	0.026945
-4.10809	0.0267233
-4.10709	0.0265012
-4.10609	0.0262787
-4.10509	0.0260558
-4.10409	0.0258326
-4.10309	0.025609
-4.10209	0.0253851
-4.10109	0.0251607
-4.10009	0.0249361
-4.09909	0.024711
-4.09809	0.0244857
-4.09709	0.0242599
-4.09609	0.0240338
-4.09509	0.0238074
-4.09409	0.0235806
-4.09309	0.0233535
-4.09209	0.023126
-4.09109	0.0228982
-4.09009	0.0226701
-4.08909	0.0224416
-4.08809	0.0222128
-4.08709	0.0219837
-4.08609	0.0217542
-4.08509	0.0215244
-4.08409	0.0212943
-4.08309	0.0210638
-4.08209	0.020833
-4.08109	0.020602
-4.08009	0.0203705
-4.07909	0.0201388
-4.07809	0.0199068
-4.07709	0.0196744
-4.07609	0.0194418
-4.07509	0.0192088
-4.07409	0.0189756
-4.07309	0.018742
-4.07209	0.0185081
-4.07109	0.018274
-4.07009	0.0180395
-4.06909	0.0178048
-4.06809	0.0175697
-4.06709	0.0173344
-4.06609	0.0170988
-4.06509	0.0168629
-4.06409	0.0166267
-4.06309	0.0163902
-4.06209	0.0161534
-4.06109	0.0159164
-4.06009	0.0156791
-4.05909	0.0154415
-4.05809	0.0152037
-4.05709	0.0149656
-4.05609	0.0147272
-4.05509	0.0144886
-4.05409	0.0142497
-4.05309	0.0140105
-4.05209	0.0137711
-4.05109	0.0135315
-4.05009	0.0132915
-4.0491	0.0130514
-4.0481	0.0128109
-4.0471	0.0125703
-4.0461	0.0123294
-4.0451	0.0120882
-4.0441	0.0118468
-4.0431	0.0116052
-4.0421	0.0113634
-4.0411	0.0111213
-4.0401	0.010879
-4.0391	0.0106364
-4.0381	0.0103936
-4.0371	0.0101506
-4.0361	0.00990743
-4.0351	0.00966399
-4.0341	0.00942034
-4.0331	0.00917648
-4.0321	0.0089324
-4.0311	0.00868812
-4.0301	0.00844362
-4.0291	0.00819893
-4.0281	0.00795403
-4.0271	0.00770893
-4.0261	0.00746363
-4.0251	0.00721813
-4.0241	0.00697245
-4.0231	0.00672657
-4.0221	0.0064805
-4.0211	0.00623425
-4.0201	0.00598781
-4.0191	0.00574119
-4.0181	0.00549439
-4.0171	0.00524742
-4.0161	0.00500027
-4.0151	0.00475294
-4.0141	0.00450545
-4.0131	0.00425779
-4.0121	0.00400996
-4.0111	0.00376197
-4.0101	0.00351382
-4.0091	0.00326551
-4.0081	0.00301704
-4.0071	0.00276842
-4.0061	0.00251965
-4.0051	0.00227073
-4.0041	0.00202166
-4.0031	0.00177245
-4.0021	0.0015231
-4.0011	0.0012736
-4.0001	0.00102397
-3.9991	0.000774206
-3.9981	0.000524307
-3.9971	0.000274279
-3.9961	2.41226e-05
-3.9951	0.000226159
-3.9941	0.000476564
-3.9931	0.00072709
-3.9921	0.000977733
-3.9911	0.00122849
-3.9901	0.00147937
-3.9891	0.00173035
-3.9881	0.00198144
-3.9871	0.00223264
-3.9861	0.00248395
-3.9851	0.00273535
-3.9841	0.00298686
-3.9831	0.00323846
-3.9821	0.00349015
-3.9811	0.00374194
-3.9801	0.00399382
-3.9791	0.00424578
-3.9781	0.00449783
-3.9771	0.00474996
-3.9761	0.00500217
-3.9751	0.00525446
-3.9741	0.00550682
-3.9731	0.00575925
-3.9721	0.00601176
-3.9711	0.00626433
-3.9701	0.00651697
-3.9691	0.00676967
-3.9681	0.00702243
-3.9671	0.00727525
-3.9661	0.00752813
-3.9651	0.00778106
-3.9641	0.00803404
-3.9631	0.00828706
-3.9621	0.00854014
-3.9611	0.00879325
-3.9601	0.00904641
-3.9591	0.0092996
-3.9581	0.00955284
-3.9571	0.0098061
-3.9561	0.0100594
-3.9551	0.0103127
-3.9541	0.0105661
-3.9531	0.0108194
-3.9521	0.0110728
-3.9511	0.0113263
-3.9501	0.0115797
-3.94911	0.0118331
-3.94811	0.0120866
-3.94711	0.01234
-3.94611	0.0125935
-3.94511	0.012847
-3.94411	0.0131005
-3.94311	0.0133539
-3.94211	0.0136074
-3.94111	0.0138609
-3.94011	0.0141143
-3.93911	0.0143678
-3.93811	0.0146212
-3.93711	0.0148746
-3.93611	0.015128
-3.93511	0.0153814
-3.93411	0.0156348
-3.93311	0.0158881
-3.93211	0.0161414
-3.93111	0.0163947
-3.93011	0.0166479
-3.92911	0.0169011
-3.92811	0.0171543
-3.92711	0.0174074
-3.92611	0.0176605
-3.92511	0.0179135
-3.92411	0.0181665
-3.92311	0.0184194
-3.92211	0.0186723
-3.92111	0.0189251
-3.92011	0.0191779
-3.91911	0.0194306
-3.91811	0.0196832
-3.91711	0.0199358
-3.91611	0.0201883
-3.91511	0.0204408
-3.91411	0.0206931
-3.91311	0.0209454
-3.91211	0.0211976
-3.91111	0.0214498
-3.91011	0.0217018
-3.90911	0.0219538
-3.90811	0.0222056
-3.90711	0.0224574
-3.90611	0.0227091
-3.90511	0.0229607
-3.90411	0.0232122
-3.90311	0.0234636
-3.90211	0.0237149
-3.90111	0.0239661
-3.90011	0.0242171
-3.89911	0.0244681
-3.89811	0.024719
-3.89711	0.0249697
