Phase	CPR
1.98549	0.915241
1.99805	0.910106
2.01062	0.904827
2.02319	0.899405
2.03575	0.893842
2.04832	0.888137
2.06088	0.882291
2.07345	0.876307
2.08602	0.870184
2.09858	0.863924
2.11115	0.857527
2.12372	0.850996
2.13628	0.844329
2.14885	0.83753
2.16142	0.830599
2.17398	0.823536
2.18655	0.816344
2.19911	0.809024
2.21168	0.801576
2.22425	0.794003
2.23681	0.786305
2.24938	0.778484
2.26195	0.770542
2.27451	0.76248
2.28708	0.754301
2.29965	0.746006
2.31221	0.737598
2.32478	0.729078
2.33734	0.720451
2.34991	0.711718
2.36248	0.702884
2.37504	0.693953
2.38761	0.684928
2.40018	0.675816
2.41274	0.666622
2.42531	0.657354
2.43788	0.648018
2.45044	0.638624
2.46301	0.629183
2.47558	0.619706
2.48814	0.610207
2.50071	0.600701
2.51327	0.591205
2.52584	0.581739
2.53841	0.572325
2.55097	0.562986
2.56354	0.55375
2.57611	0.544646
2.58867	0.535706
2.60124	0.526966
2.61381	0.518464
2.62637	0.510239
2.63894	0.502336
2.6515	0.494798
2.66407	0.487672
2.67664	0.481007
2.6892	0.474851
2.70177	0.469254
2.71434	0.464263
2.7269	0.459924
2.73947	0.456281
2.75204	0.453374
2.7646	0.451238
2.77717	0.449901
2.78973	0.449385
2.8023	0.449701
2.81487	0.450853
2.82743	0.452831
2.84	0.455615
2.85257	0.459171
2.86513	0.463451
2.8777	0.468393
2.89027	0.47392
2.90283	0.479941
2.9154	0.48635
2.92796	0.493028
2.94053	0.499842
2.9531	0.506648
2.96566	0.513294
2.97823	0.519616
2.9908	0.525448
3.00336	0.530619
3.01593	0.534958
3.0285	0.538295
3.04106	0.540467
3.05363	0.541316
3.06619	0.540698
3.07876	0.538481
3.09133	0.534547
3.10389	0.528799
3.11646	0.521159
3.12903	0.51157
3.14159	0.5
3.15416	0.486438
3.16673	0.470898
3.17929	0.453418
3.19186	0.434058
3.20442	0.4129
3.21699	0.390045
3.22956	0.365614
3.24212	0.339743
3.25469	0.312582
3.26726	0.284291
3.27982	0.255038
3.29239	0.224997
3.30496	0.194341
3.31752	0.163247
3.33009	0.131886
3.34265	0.100422
3.35522	0.0690139
3.36779	0.0378089
3.38035	0.00694327
3.39292	-0.0234596
3.40549	-0.0532902
3.41805	-0.0824531
3.43062	-0.110868
3.44319	-0.138468
3.45575	-0.165203
3.46832	-0.191035
3.48088	-0.215938
3.49345	-0.239901
3.50602	-0.262923
3.51858	-0.285011
3.53115	-0.306184
3.54372	-0.326466
3.55628	-0.345889
3.56885	-0.364489
3.58142	-0.382305
3.59398	-0.39938
3.60655	-0.415759
3.61911	-0.431488
3.63168	-0.44661
3.64425	-0.461172
3.65681	-0.475215
3.66938	-0.488782
3.68195	-0.501913
3.69451	-0.514643
3.70708	-0.527008
3.71965	-0.539039
3.73221	-0.550765
3.74478	-0.562213
3.75734	-0.573406
3.76991	-0.584365
3.78248	-0.595109
3.79504	-0.605653
3.80761	-0.616013
3.82018	-0.6262
3.83274	-0.636224
3.84531	-0.646094
3.85788	-0.655818
3.87044	-0.665401
3.88301	-0.674849
3.89557	-0.684166
3.90814	-0.693354
3.92071	-0.702416
3.93327	-0.711353
3.94584	-0.720167
3.95841	-0.728859
3.97097	-0.737429
3.98354	-0.745876
3.99611	-0.754202
4.00867	-0.762405
4.02124	-0.770485
4.0338	-0.778441
4.04637	-0.786272
4.05894	-0.793978
4.0715	-0.801558
4.08407	-0.80901
4.09664	-0.816334
4.1092	-0.823529
4.12177	-0.830593
4.13434	-0.837526
4.1469	-0.844326
4.15947	-0.850993
4.17204	-0.857526
4.1846	-0.863923
4.19717	-0.870183
4.20973	-0.876306
4.2223	-0.882291
4.23487	-0.888136
4.24743	-0.893841
4.26	-0.899405
4.27257	-0.904827
4.28513	-0.910106
4.2977	-0.915241
4.31027	-0.920232
4.32283	-0.925077
4.3354	-0.929776
4.34796	-0.934329
4.36053	-0.938734
4.3731	-0.942991
4.38566	-0.947098
4.39823	-0.951057
4.4108	-0.954865
4.42336	-0.958522
4.43593	-0.962028
4.4485	-0.965382
4.46106	-0.968583
4.47363	-0.971632
4.48619	-0.974527
4.49876	-0.977268
4.51133	-0.979855
4.52389	-0.982287
4.53646	-0.984564
4.54903	-0.986686
4.56159	-0.988652
4.57416	-0.990461
4.58673	-0.992115
4.59929	-0.993611
4.61186	-0.994951
4.62442	-0.996134
4.63699	-0.997159
4.64956	-0.998027
4.66212	-0.998737
4.67469	-0.999289
4.68726	-0.999684
4.69982	-0.999921
4.71239	-1
4.72496	-0.999921
4.73752	-0.999684
4.75009	-0.999289
4.76265	-0.998737
4.77522	-0.998027
4.78779	-0.997159
4.80035	-0.996134
4.81292	-0.994951
4.82549	-0.993611
4.83805	-0.992115
4.85062	-0.990461
4.86319	-0.988652
4.87575	-0.986686
4.88832	-0.984564
4.90088	-0.982287
4.91345	-0.979855
4.92602	-0.977268
4.93858	-0.974527
4.95115	-0.971632
4.96372	-0.968583
4.97628	-0.965382
4.98885	-0.962028
5.00142	-0.958522
5.01398	-0.954865
5.02655	-0.951057
5.03911	-0.947098
5.05168	-0.942991
5.06425	-0.938734
5.07681	-0.934329
5.08938	-0.929776
5.10195	-0.925077
5.11451	-0.920232
5.12708	-0.915241
5.13965	-0.910106
5.15221	-0.904827
5.16478	-0.899405
5.17734	-0.893841
5.18991	-0.888136
5.20248	-0.882291
5.21504	-0.876307
5.22761	-0.870184
5.24018	-0.863923
5.25274	-0.857527
5.26531	-0.850994
5.27788	-0.844328
5.29044	-0.837528
5.30301	-0.830596
5.31557	-0.823533
5.32814	-0.816339
5.34071	-0.809017
5.35327	-0.801567
5.36584	-0.79399
5.37841	-0.786288
5.39097	-0.778462
5.40354	-0.770513
5.41611	-0.762443
5.42867	-0.754251
5.44124	-0.745941
5.4538	-0.737513
5.46637	-0.728969
5.47894	-0.720309
5.4915	-0.711536
5.50407	-0.70265
5.51664	-0.693653
5.5292	-0.684547
5.54177	-0.675333
5.55434	-0.666012
5.5669	-0.656586
5.57947	-0.647056
5.59203	-0.637424
5.6046	-0.627691
5.61717	-0.61786
5.62973	-0.60793
5.6423	-0.597905
5.65487	-0.587785
5.66743	-0.577573
5.68	-0.567269
5.69257	-0.556876
5.70513	-0.546394
5.7177	-0.535827
5.73027	-0.525175
5.74283	-0.51444
5.7554	-0.503623
5.76796	-0.492727
5.78053	-0.481754
5.7931	-0.470704
5.80566	-0.45958
5.81823	-0.448383
5.8308	-0.437116
5.84336	-0.425779
5.85593	-0.414376
5.8685	-0.402906
5.88106	-0.391374
5.89363	-0.379779
5.90619	-0.368125
5.91876	-0.356412
5.93133	-0.344643
5.94389	-0.33282
5.95646	-0.320944
5.96903	-0.309017
